word,score
기억_을,57
기억_속에,29
기억_속에서,24
기억_은,21
기억_단기,18
기억_이,17
기억_하고,16
기억_의,15
기억_하지,15
기억_에,14
기억_내,14
기억_못하는,13
기억_속,12
기억_속에서도,10
기억_이란,8
기억_상실증,8
기억_과,7
기억_상실증을,7
기억_하는,7
기억_왜곡된,6
기억_하기,6
기억_속의,6
기억_울었던,6
기억_나는,6
기억_나의,6
기억_사랑,6
기억_으로,5
기억_행복했던,5
기억_과거의,5
기억_내가,5
기억_상실,5
기억_들을,5
기억_우리의,5
기억_인간의,5
기억_잃어가는,5
기억_내일의,5
기억_속을,5
기억_모든,4
기억_하나도,4
기억_잊혀져가는,4
기억_할,4
기억_나를,4
기억_자신의,4
기억_좋은,4
기억_사라져가는,4
기억_그의,4
기억_이라는,4
기억_날,3
기억_위해,3
기억_사랑의,3
기억_우리는,3
기억_조작된,3
기억_소중한,3
기억_당신이,3
기억_흐린,3
기억_앨리가,3
기억_누군가의,3
기억_나지,3
기억_해,3
기억_않고,3
기억_위에,3
기억_사라지는,3
기억_vs,3
기억_될,3
기억_사람을,3
기억_해낸다,3
기억_하게,3
기억_잃고,3
기억_사람의,3
기억_안에서,3
기억_인간은,3
기억_한다,3
기억_자신이,3
기억_없는,3
기억_처절한,3
기억_못해도,3
기억_아름다운,3
기억_추억,3
기억_돌아온,2
기억_혜자의,2
기억_해줄,2
기억_했던,2
기억_추적,2
기억_불행했던,2
기억_지금을,2
기억_또는,2
기억_메모,2
기억_내내,2
기억_들로,2
기억_영원히,2
기억_만든,2
기억_잃은,2
기억_점점,2
기억_상실증에,2
기억_이의,2
기억_흐릿한,2
기억_이다,2
기억_이었다,2
기억_뒤섞인,2
기억_도,2
연기_배우들의,52
연기_무어의,39
연기_배우들,38
연기_최고,37
연기_홉킨스의,35
연기_연출,34
연기_좋았어요,31
연기_가,28
연기_배우,27
연기_배우님,25
연기_서현진,24
연기_좋은,23
연기_진짜,23
연기_좋았습니다,22
연기_최고의,22
연기_를,22
연기_무어,21
연기_좋아요,21
연기_홉킨스,20
연기_도,18
연기_배우의,16
연기_역시,14
연기_덕분에,13
연기_훌륭한,12
연기_배우분들,11
연기_짱,11
연기_에,11
연기_굿,11
연기_잘하는,10
연기_스토리,10
연기_좋다,10
연기_다들,10
연기_다,10
연기_줄리안무어,10
연기_좋네요,9
연기_그녀의,9
연기_좋고,9
연기_대박,9
연기_치매,9
연기_배우님의,8
연기_빛나는,8
연기_완벽한,8
연기_잘함,8
연기_잘한다,7
연기_대단한,7
연기_는,7
연기_줄리안무어의,7
연기_인생,7
연기_그의,7
연기_잘하시는,7
연기_서현진님,7
연기_좋았음,6
연기_덕에,6
연기_실감나는,6
연기_할아버지,6
연기_섬세한,6
연기_하네요,6
연기_좋았고,6
연기_안소니홉킨스의,6
연기_명품,6
연기_안소니,6
연기_잘하시고,6
연기_넘,6
연기_와,6
연기_잘하시네요,6
연기_음악,6
연기_엄청난,6
연기_신들린,6
연기_좋았다,6
연기_스토리와,5
연기_뛰어난,5
연기_잘하네요,5
연기_손예진,5
연기_않은,5
연기_연출과,5
연기_잘하세요,5
연기_미쳤다,5
연기_하나만으로도,5
연기_자연스러운,5
연기_명,5
연기_최고다,5
연기_어색한,5
연기_아름다운,5
연기_안성기,5
연기_남주혁,4
연기_잘봤습니다,4
연기_눈물,4
연기_안소니의,4
연기_배우님들,4
연기_멋진,4
연기_하시는,4
연기_압권,4
연기_놀라운,4
연기_앙상블,4
연기_한,4
연기_좋음,4
연기_배우분들의,4
연기_잘해서,4
연기_서현진씨,4
연기_잘해요,4
사람_은,19
사람_이,19
사람_사랑하는,13
사람_을,10
사람_들이,9
사람_들은,8
사람_과,8
사람_아는,7
사람_의,6
사람_싶은,6
사람_날아오를,6
사람_들,6
사람_해주는,6
사람_들의,5
사람_본,5
사람_이다,5
사람_에게,5
사람_사랑,5
사람_없는,5
사람_주는,5
사람_심덕출,5
사람_아름다운,5
사람_순수한,4
사람_사는,4
사람_채워줄,4
사람_주변,4
사람_같은,4
사람_마음을,4
사람_멋진,3
사람_내가,3
사람_만들어주는,3
사람_도,3
사람_소중한,3
사람_할,3
사람_이게,3
사람_해준,3
사람_준,3
사람_냄새가,3
사람_외로웠던,3
사람_아니에요,3
사람_모든,2
사람_에게는,2
사람_만이,2
사람_영화가,2
사람_정도로,2
사람_사는게,2
사람_싶던,2
사람_잃은,2
사람_믿을,2
사람_한테,2
사람_없게,2
사람_중에,2
사람_자체를,2
사람_노아만큼이나,2
사람_가족,2
사람_단,2
사람_예쁜,2
사람_했다,2
사람_많은,2
사람_펑펑,2
사람_좋은,2
사람_나는,2
사람_함께하는,2
사람_이었다면,2
사람_사라지는,2
사람_생각하는,2
사람_내,2
사람_가진,2
사람_이라면,2
사람_나쁜,2
사람_잊는,2
사람_소름돋게,2
사람_앓는,2
사람_다,2
사람_한다,2
사람_없고,2
사람_가게,2
사람_이름,2
사람_걸린,2
사람_않는다,2
사람_들이다,2
사람_함께할,2
사람_사랑과,2
사람_난,2
사람_중,2
사람_인,2
사람_영화를,1
사람_보통의,1
사람_막힌,1
사람_세상사는,1
사람_약혼까지,1
사람_딸은,1
사람_만난,1
사람_갔다,1
사람_불쌍해요,1
사람_거부하는,1
사람_감은,1
사람_헷갈리게,1
사람_아프게,1
사람_지키고,1
마지막_장면이,31
마지막_장면에서,23
마지막_반전이,22
마지막_장면은,21
마지막_반전,20
마지막_장면,20
마지막_반전에,12
마지막_영혼의,12
마지막_대사,11
마지막_숨을,11
마지막_장면의,10
마지막_순간까지,10
마지막_으로,9
마지막_안소니의,9
마지막_에,9
마지막_그녀의,8
마지막_엔딩,8
마지막_앨리스의,8
마지막_대사가,8
마지막_장면을,7
마지막_인생의,7
마지막_반전은,7
마지막_대사는,7
마지막_영화의,7
마지막_장면에,7
마지막_반전을,6
마지막_드라마,6
마지막_10분이,6
마지막_나의,6
마지막_삶의,6
마지막_맨,6
마지막_특히,6
마지막_회,6
마지막_편의점,6
마지막_날,5
마지막_나레이션이,5
마지막_로맨스,5
마지막_결말이,5
마지막_10분,5
마지막_사랑,5
마지막_진짜,5
마지막_10분을,5
마지막_사랑을,4
마지막_나일,4
마지막_사랑의,4
마지막_남은,4
마지막_사랑이,4
마지막_장면과,4
마지막_엔딩에서,4
마지막_순간,4
마지막_선생님의,4
마지막_잎새를,4
마지막_장면에서는,4
마지막_시는,4
마지막_있었지만,4
마지막_엔딩이,4
마지막_지문,4
마지막_기억을,4
마지막_그의,4
마지막_한다,4
마지막_반전까지,4
마지막_그들의,4
마지막_노년의,4
마지막_김혜자,4
마지막_혜자의,3
마지막_모습이,3
마지막_여행,3
마지막_엔딩까지,3
마지막_있을까,3
마지막_미자가,3
마지막_부분이,3
마지막_배우님의,3
마지막_쯤,3
마지막_순간에,3
마지막_잎새가,3
마지막_있었다,3
마지막_부분은,3
마지막_봤는데,3
마지막_부분의,3
마지막_기억의,3
마지막_장면에선,3
마지막_인생,3
마지막_화,3
마지막_시,3
마지막_첫사랑과,3
마지막_은,3
마지막_시퀀스에,3
마지막_부분,3
마지막_연기와,3
마지막_5분을,3
마지막_내,3
마지막_시퀀스는,3
마지막_감동,3
마지막_했는데,3
마지막_이,3
마지막_순간까지도,3
마지막_반전도,3
마지막_반전과,3
마지막_자신이,3
마지막_장면만,3
치매_환자의,65
치매_를,34
치매_걸린,25
치매_노인의,23
치매_환자,22
치매_환자가,22
치매_에,20
치매_는,15
치매_알츠하이머,14
치매_체험,13
치매_노인,12
치매_환자를,11
치매_라는,11
치매_초로기,9
치매_환자와,9
치매_간접,8
치매_연기,8
치매_진짜,8
치매_무섭다,7
치매_무서운,7
치매_의,6
치매_관련,6
치매_걸리면,6
치매_가족이,5
치매_당사자의,5
치매_영화는,5
치매_노인을,5
치매_로,5
치매_모든,4
치매_내가,4
치매_전지적,4
치매_시점,4
치매_이야기,3
치매_아닐까,3
치매_홉킨스의,3
치매_환자들은,3
치매_질병,3
치매_서현진,3
치매_환자에,3
치매_환자에게,3
치매_슬프네요,3
치매_란,3
치매_병,3
치매_안소니,3
치매_라고,3
치매_환자들의,3
치매_연기가,3
치매_와,3
치매_가,3
치매_사랑,3
치매_없는,3
치매_전문,3
치매_노인이,3
치매_암,2
치매_안소니의,2
치매_영화가,2
치매_당사자,2
치매_가족을,2
치매_부부가,2
치매_아버지가,2
치매_엄마,2
치매_연기에,2
치매_등을,2
치매_되는,2
치매_함,2
치매_관객을,2
치매_영화다,2
치매_스릴러,2
치매_나도,2
치매_가족,2
치매_암보다,2
치매_걸리지,2
치매_증상을,2
치매_많은,2
치매_아버지를,2
치매_환자로,2
치매_어쩌면,2
치매_치료제가,2
치매_나이들어,2
치매_소재,2
치매_슬프다,2
치매_나이듦,2
치매_노아가,2
치매_연기와,2
치매_사람들이,2
치매_할머니의,2
치매_가족으로,2
치매_1인칭,2
치매_고령화,2
치매_작품은,2
치매_잊어가는,2
치매_노인들이,2
치매_두렵다,2
치매_부부의,2
치매_알츠하이머는,2
치매_앓는,2
치매_영화에서,2
치매_이야기는,2
치매_그려낸,2
치매_않는다,2
가슴_아픈,43
가슴_따뜻한,37
가슴_찡한,24
가슴_따뜻해지는,24
가슴_먹먹한,18
가슴_속에,17
가슴_한켠이,14
가슴_뛰었는지,12
가슴_뭉클한,11
가슴_아프고,11
가슴_아프다,10
가슴_아프게,9
가슴_먹먹해지는,9
가슴_절절한,8
가슴_아프지만,8
가슴_이,7
가슴_찡하게,7
가슴_뭉클하게,6
가슴_내내,6
가슴_속,6
가슴_노랫소리에,6
가슴_아플,5
가슴_뭉클하고,5
가슴_내,5
가슴_먹먹하고,5
가슴_누구나,5
가슴_오랜만에,5
가슴_소리에,4
가슴_한편이,4
가슴_아린,4
가슴_진짜,4
가슴_이토록,4
가슴_진한,3
가슴_따듯해지는,3
가슴_너무나,3
가슴_켠에,3
가슴_봤는데,3
가슴_뭉클,3
가슴_아팠다,3
가슴_생각하면,3
가슴_따뜻하고,3
가슴_보는내내,3
가슴_설렌다,3
가슴_아픕니다,3
가슴_깊이,3
가슴_먹먹하게,3
가슴_자식이란건,3
가슴_저리게,3
가슴_속에서,2
가슴_모습이,2
가슴_찢어지게,2
가슴_으로,2
가슴_벅차게,2
가슴_아닌,2
가슴_울리는,2
가슴_속의,2
가슴_본,2
가슴_있지만,2
가슴_먹먹하다,2
가슴_저릿한,2
가슴_벅찬,2
가슴_아프네요,2
가슴_아직도,2
가슴_저미는,2
가슴_가장,2
가슴_한켠을,2
가슴_찡하게하는,2
가슴_한켠에,2
가슴_노래소리에,2
가슴_사람,2
가슴_훈훈한,2
가슴_사랑에,2
가슴_연기,2
가슴_좋았고,2
가슴_뜨거워지는,2
가슴_나의,2
가슴_뻔하지만,2
가슴_생각하게,2
가슴_찡하네요,2
가슴_더더욱,2
가슴_안고,2
가슴_있기에,2
가슴_슬프고,2
가슴_없이,2
가슴_부모,2
가슴_너무나도,2
가슴_따순,2
가슴_아름답고,2
가슴_넘,2
가슴_찡했어요,2
가슴_아픈데,2
가슴_아파요,2
가슴_켠이,2
가슴_한구석에,2
가슴_시리게,2
가슴_잔잔하고,2
가슴_다시봐도,2
가슴_따뜻했습니다,2
가슴_저린,2
가슴_풋풋하고,2
반전_마지막,20
반전_못한,14
반전_의,13
반전_감동,13
반전_이,13
반전_최고의,10
반전_나름,9
반전_아닌,8
반전_스토리,7
반전_뻔한,7
반전_못했던,7
반전_에,7
반전_슬펐어요,5
반전_감동적인,5
반전_나름의,5
반전_했던,4
반전_이후에,4
반전_알았는데,4
반전_의외의,4
반전_을,4
반전_끝에,4
반전_흔한,4
반전_완전,4
반전_예상되는,4
반전_대박,4
반전_예상치못한,3
반전_눈물,3
반전_뜬금없는,3
반전_충격적인,3
반전_슬픔,3
반전_도,3
