word,score
영화,50396
연기,29268
정말,16243
마지막,10894
연기력,10373
배우들,9207
사람,8658
재미,8407
치매,7736
스토리,6711
진짜,6629
가슴,6062
설현,5776
시간,5535
가장,5124
결말,5107
우리,4547
알츠하이머,4356
내용,4347
부모님,4327
모두,4178
장면,4002
모습,3863
드라마,3672
놀란,3659
작품,3560
봤어요,3514
순간,3430
ㅠㅠ,3399
안소니,3396
그녀,3321
좋았습니다,3206
있다.,3165
앨리,3159
함께,3128
지금,3083
전개,3011
이렇게,2962
부모,2860
인생,2791
앨리스,2700
여운,2638
중간,2599
홉킨스,2532
살인자,2501
부분,2481
소름,2463
긴장감,2456
한국,2440
줄리안,2399
완전,2328
없다.,2292
관객,2272
설경구님,2267
하루,2261
사실,2204
정도,2202
무어,2200
의미,2189
인간,2154
근데,2132
아버지,2073
메멘토,2068
노아,1998
대박,1989
스릴러,1985
초반,1983
너무나,1943
로맨스,1935
과거,1925
배우님,1911
그렇게,1907
약간,1879
할머니,1864
진실,1861
것.,1801
사람들,1769
설경구씨,1732
엄청,1710
공감,1701
오늘,1672
누군가,1668
오랜만,1667
인상,1660
뭔가,1658
서현진,1654
누구,1631
있습니다.,1607
좋았어요.,1602
매일,1591
또한,1591
환자,1562
노년,1560
자체,1542
어머니,1538
ㅋㅋ,1508
후반부,1508
개인적,1470
레이첼,1454
나이,1449
엔딩,1376
후회,1330
슬프고,1329
스스로,1323
더욱,1311
중간중간,1310
영화관,1309
할아버지,1301
주변,1288
느끼게,1267
...,1265
선택,1255
손예진,1222
전체적,1214
첫사랑,1212
과정,1212
속에서,1163
살짝,1159
알게,1156
가족들,1147
공포,1142
몰입감,1142
맥아담스,1134
돋보,1132
제일,1131
매력,1128
신파,1120
미자,1111
자격,1099
노트북,1098
자꾸,1094
노력,1086
플롯,1066
각색,1039
정신,1038
인물,1014
한국영화,1004
문제,1000
과연,988
실제,988
정우성,943
이창동,941
열연,933
일상,924
분명,919
입장,908
영화중,908
전체,898
재개봉,897
평생,896
캐릭,895
이야기.,886
배우분들,879
그런데,860
것들,848
의외,836
만족,835
사랑.,831
김혜자,829
물론,828
바람,824
올해,818
언제나,814
주연,810
읽어보고,803
아쉬움,798
치매환자,798
"설경구,",794
장르,793
그럭저럭,793
혜자,781
절대,776
노트,775
읽고,764
병수,760
예전,758
저렇게,755
ㅋㅋㅋ,754
자식,746
훨씬,744
남주,739
남편,735
중반,734
"영화,",721
역할,720
세계,714
최근,708
친구,703
박수,696
여주,692
음악,689
모르게,688
여성,686
로맨틱,676
부성애,675
줄리안무어,673
충격,672
평점,671
라이언,671
김영하,668
가족애,665
웃음,663
끊임,638
극장,623
